Timestamp,What is the job title that best describes your role when using Xarray?,What field do you work in?,How did you hear about this survey?,How often do you use Xarray?,How many years have you been using Xarray?,How do you rate your level of Xarray proficiency?,"For your applications that use Xarray, how critical is Xarray?",Is Xarray stable enough for you?,What Xarray resources have you used for support in the last six months?,"Which of Xarray's core features are most important to you? [Label-based indexing, interpolation, groupby, reindexing, and computation]",Which of Xarray's core features are most important to you? [Reading and writing files],Which of Xarray's core features are most important to you? [Parallel computation with Dask],Which of Xarray's core features are most important to you? [Interoperability with Pandas],Which of Xarray's core features are most important to you? [Plotting],Where do you use Xarray? [Personal laptop],Where do you use Xarray? [Large workstation],Where do you use Xarray? [HPC cluster],Where do you use Xarray? [Cloud cluster],Interactive or batch? [Interactive:  I use Xarray with Jupyter or IPython when playing with data],Interactive or batch? [Batch: I use Xarray in scripts that run in the future],Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [NetCDF 3*],Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [NetCDF 4*],Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [Zarr*],Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [GRIB*],Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [GeoTIFF*],Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [Python Pickle*],Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [HDF 4/5],"Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [Other Image format (PNG, JPG, TIFF, etc.)]",Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [Video (e.g. MP4)],Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [Database (e.g. MongoDB)],"Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [Tensors (e.g. PyTorch, Tensorflow, NumPy)]",Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [Other],"If you answered ""Other"" above, please list any additional formats:",How easy is it for you to upgrade to newer versions of Python libraries?,"What are some other libraries that you often use with Xarray? (e.g. ""dask, pandas, scikit-learn"") ",What would make Xarray even more useful for your work?,What development activities would help you most right now? [Bug fixes],What development activities would help you most right now? [More documentation],What development activities would help you most right now? [More examples in my domain],What development activities would help you most right now? [New features],What development activities would help you most right now? [Performance improvements],"What common feature requests do you care about most? [More flexible indexing (i.e. selection, alignment)]","What common feature requests do you care about most? [More flexible backend arrays (e.g. Dask, CuPy, Pint, Sparse)]","What common feature requests do you care about most? [More flexible file IO (e.g. netCDF, Zarr, DB)]",What common feature requests do you care about most? [Better physical unit support],What common feature requests do you care about most? [Better documentation / more examples from my field],"What common feature requests do you care about most? [Better interoperability with Machine Learning libraries (e.g. Scikit-learn, Tensorflow)]",Xarray supports multiple backend array types (e.g. NumPy and Dask). Rank your interest non-NumPy backend array support: [CuPy (GPU) arrays],Xarray supports multiple backend array types (e.g. NumPy and Dask). Rank your interest non-NumPy backend array support: [Sparse arrays],Xarray supports multiple backend array types (e.g. NumPy and Dask). Rank your interest non-NumPy backend array support: [Dask arrays],Xarray supports multiple backend array types (e.g. NumPy and Dask). Rank your interest non-NumPy backend array support: [Pint (unit-aware) arrays],Xarray supports multiple backend array types (e.g. NumPy and Dask). Rank your interest non-NumPy backend array support: [Other],"If you answered ""Other"" above, list any additional array types:",Xarray's documentation is due for a makeover. Rank the following set of possible changes based on your personal preferences: [Rewrite introductory material to be more generic (less focused on NetCDF and geoscience applications)],Xarray's documentation is due for a makeover. Rank the following set of possible changes based on your personal preferences: [A more modern web design],Xarray's documentation is due for a makeover. Rank the following set of possible changes based on your personal preferences: [Expanded set of domain-specific interactive tutorials],Xarray's documentation is due for a makeover. Rank the following set of possible changes based on your personal preferences: [Expanded set of generic examples for common workflow patterns],,
1/6/2021 9:27:17,Student,Fluid mechanic,Mailing list,Regularly (~weekly),0,0,0,Yes,"Documentation (http://xarray.pydata.org/), Tutorials (https://xarray-contrib.github.io/xarray-tutorial/), Stack Overflow #python-xarray tag",3,5 (most),1 (least),4,2,Regularly (~weekly),Never,Never,Never,Never,Regularly (~weekly),Regularly (~weekly),Regularly (~weekly),Never,Never,Never,Regularly (~weekly),Never,Never,Never,Never,Regularly (~weekly),Never,,4,pandas,,Not relevant,Very useful,Very useful,Very useful,Not relevant,Not relevant,Not relevant,Somewhat useful,Not relevant,Very useful,Somewhat useful,,,,,,,,,,,,
1/6/2021 9:28:01,"Student, Domain scientist / researcher",Geosciences,Twitter,Most days,2,3,4,Yes,"Documentation (http://xarray.pydata.org/), Stack Overflow #python-xarray tag, GitHub issue trackers (raising a new issue), GitHub issue trackers (reading past issues)",5 (most),4,3,1 (least),2,Occasionally (~monthly),Regularly (~weekly),Most days,Never,Most days,Regularly (~weekly),Never,Most days,Occasionally (~monthly),,Never,Never,Never,Never,Never,Never,Never,Never,,3,"Dask, xgcm, scipy, numpy",Hard to say as it is already so useful!,Very useful,Not relevant,Somewhat useful,Very useful,Very useful,Critical,Very useful,Very useful,Not relevant,Somewhat useful,Somewhat useful,Very interested,Very interested,Somewhat interested,Not interested,,,3,4 (lowest priority),2,1 (highest priority),,
1/6/2021 9:28:15,Software engineer / developer,Geosciences,Gitter,Most days,3,2,3,Yes (and I wouldn't mind a little less stability if it meant the project developed faster),"Documentation (http://xarray.pydata.org/), Tutorials (https://xarray-contrib.github.io/xarray-tutorial/), Stack Overflow #python-xarray tag, GitHub issue trackers (raising a new issue), GitHub issue trackers (reading past issues)",3,2,1 (least),,,Regularly (~weekly),Most days,Never,Occasionally (~monthly),Most days,Regularly (~weekly),Occasionally (~monthly),Most days,Never,Regularly (~weekly),Regularly (~weekly),Occasionally (~monthly),Most days,Occasionally (~monthly),Never,Never,Never,Never,,4,"dask, wradlib, cfgrib, ","Not sure, maybe a ""better"" handling for netcdf4/hdf5 groups? ",Very useful,Somewhat useful,Very useful,Somewhat useful,Very useful,Very useful,Somewhat useful,Very useful,Somewhat useful,Very useful,Somewhat useful,Somewhat interested,Somewhat interested,Very interested,Somewhat interested,,,3,4 (lowest priority),1 (highest priority),2,,
1/6/2021 9:29:49,Domain scientist / researcher,Geosciences,Friend,Regularly (~weekly),2,2,0,No,"Documentation (http://xarray.pydata.org/), Tutorials (https://xarray-contrib.github.io/xarray-tutorial/), Stack Overflow #python-xarray tag, GitHub issue trackers (reading past issues)",3,5 (most),2,1 (least),4,Occasionally (~monthly),Regularly (~weekly),Regularly (~weekly),Never,,,Regularly (~weekly),Regularly (~weekly),Occasionally (~monthly),Never,Never,Never,Never,Occasionally (~monthly),Occasionally (~monthly),Never,Occasionally (~monthly),Occasionally (~monthly),Text,1,Using netCDF4 is often quicker and more efficient for me for quick tasks because xarray is sensitive to chunking,Better integration of curvilinear 3d coordinates,Critical,Very useful,Very useful,Somewhat useful,Somewhat useful,Very useful,Somewhat useful,Critical,Very useful,Very useful,Not relevant,Not interested,Not interested,Somewhat interested,Not interested,Not interested,,4 (lowest priority),3,1 (highest priority),2,,
1/6/2021 9:32:07,Student,"Geosciences, Statistics & Machine Learning",Friend,Most days,1,3,3,Yes,"Tutorials (https://xarray-contrib.github.io/xarray-tutorial/), Stack Overflow #python-xarray tag",4,5 (most),2,1 (least),3,Regularly (~weekly),Occasionally (~monthly),Never,Never,Regularly (~weekly),Regularly (~weekly),Regularly (~weekly),Regularly (~weekly),Never,Never,Occasionally (~monthly),Never,Occasionally (~monthly),Occasionally (~monthly),Never,Never,Occasionally (~monthly),Never,,3,"pandas, scikit-learn, dask, rasterio",Regriding,Somewhat useful,Very useful,Critical,Critical,Very useful,Very useful,Very useful,Critical,Somewhat useful,Critical,Very useful,Somewhat interested,Very interested,Very interested,Not interested,Not interested,,4 (lowest priority),3,2,1 (highest priority),,
1/6/2021 9:39:37,Domain scientist / researcher,Geosciences,Friend,Regularly (~weekly),1,2,4,Yes,"Documentation (http://xarray.pydata.org/), Tutorials (https://xarray-contrib.github.io/xarray-tutorial/)",4,3,5 (most),1 (least),2,Occasionally (~monthly),Regularly (~weekly),Most days,Occasionally (~monthly),Most days,Occasionally (~monthly),Occasionally (~monthly),Most days,Occasionally (~monthly),,,,,,,,,,,3,"dask, xgcm",,Very useful,Very useful,Critical,Somewhat useful,Very useful,Critical,Very useful,Somewhat useful,Very useful,Critical,Not relevant,Somewhat interested,Somewhat interested,Very interested,,,,3,4 (lowest priority),1 (highest priority),2,,
1/6/2021 9:40:15,Domain scientist / researcher,Geosciences,Twitter,Most days,5,2,2,Yes,"Documentation (http://xarray.pydata.org/), Tutorials (https://xarray-contrib.github.io/xarray-tutorial/), Stack Overflow #python-xarray tag, GitHub issue trackers (reading past issues)",5 (most),4,2,3,1 (least),Most days,Occasionally (~monthly),Most days,Never,Occasionally (~monthly),Most days,Most days,Most days,Never,Occasionally (~monthly),Occasionally (~monthly),Occasionally (~monthly),Occasionally (~monthly),Occasionally (~monthly),Never,Never,Never,,,3,"Pandas, numpy, cartopy, scipy",Faster and more efficient  on large array wide calculations such as percentiles,Very useful,Very useful,Somewhat useful,Somewhat useful,Critical,Somewhat useful,Somewhat useful,Somewhat useful,Very useful,Somewhat useful,Somewhat useful,Not interested,Not interested,Somewhat interested,Not interested,,,4 (lowest priority),3,2,1 (highest priority),,
1/6/2021 9:41:39,"Domain scientist / researcher, Data scientist, Software engineer / developer","Geosciences, Statistics & Machine Learning",Twitter,Most days,1,2,3,Yes (and I wouldn't mind a little less stability if it meant the project developed faster),"Documentation (http://xarray.pydata.org/), Tutorials (https://xarray-contrib.github.io/xarray-tutorial/), Stack Overflow #python-xarray tag, Github Discussions",5 (most),4,2,1 (least),3,Most days,Most days,Occasionally (~monthly),,Most days,Most days,,Most days,Occasionally (~monthly),Regularly (~weekly),Regularly (~weekly),Occasionally (~monthly),Occasionally (~monthly),Never,Never,Never,Never,Never,,4,"Xclim, pandas, dask,",,Somewhat useful,Very useful,Very useful,Critical,Somewhat useful,Very useful,Not relevant,Somewhat useful,Somewhat useful,Very useful,Very useful,Somewhat interested,Very interested,Very interested,Not interested,,,3,4 (lowest priority),2,1 (highest priority),,
1/6/2021 9:42:24,Domain scientist / researcher,Geosciences,Twitter,Occasionally (~monthly),2,1,3,Yes,"Documentation (http://xarray.pydata.org/), Tutorials (https://xarray-contrib.github.io/xarray-tutorial/), Stack Overflow #python-xarray tag, GitHub issue trackers (raising a new issue), GitHub issue trackers (reading past issues)",4,3,5 (most),1 (least),2,Occasionally (~monthly),Occasionally (~monthly),Occasionally (~monthly),Occasionally (~monthly),Occasionally (~monthly),Never,Never,Never,Occasionally (~monthly),Never,Never,Never,Occasionally (~monthly),Never,Never,Never,Never,Never,,4,"Dask, ObsPy, Seaborn",Improvements to xrft and/or xrscipy ,Somewhat useful,Very useful,Critical,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Not relevant,Very useful,Somewhat useful,Somewhat interested,Somewhat interested,Very interested,Not interested,,,3,4 (lowest priority),1 (highest priority),2,,
1/6/2021 9:42:43,Student,Geosciences,ClimateGrad Slack Channel,Most days,1,2,3,Yes,"Documentation (http://xarray.pydata.org/), Tutorials (https://xarray-contrib.github.io/xarray-tutorial/), Stack Overflow #python-xarray tag",4,5 (most),1 (least),3,2,Never,Never,Most days,Never,Never,Most days,Most days,Most days,Never,Never,Never,Never,Occasionally (~monthly),Occasionally (~monthly),Never,Never,Occasionally (~monthly),Never,,4,"numpy, dask, scipy",,Critical,Very useful,Very useful,Critical,Very useful,Very useful,Somewhat useful,Very useful,Somewhat useful,Critical,Not relevant,Not interested,Not interested,Very interested,Not interested,,,4 (lowest priority),3,1 (highest priority),2,,
1/6/2021 9:44:27,"Educator, Software engineer / developer",Geosciences,Mailing list,Regularly (~weekly),2,2,3,Yes,"Documentation (http://xarray.pydata.org/), Stack Overflow #python-xarray tag, GitHub issue trackers (raising a new issue), GitHub issue trackers (reading past issues)",5 (most),3,4,2,1 (least),Regularly (~weekly),Never,Never,Never,Regularly (~weekly),Occasionally (~monthly),Regularly (~weekly),Regularly (~weekly),Occasionally (~monthly),Occasionally (~monthly),Never,Never,Never,Never,Never,Never,Never,Regularly (~weekly),"OPeNDAP, CDMRemote (using custom backend)",4,MetPy,Support for 2D indices.,Critical,Very useful,Somewhat useful,Very useful,Very useful,Critical,Somewhat useful,Very useful,Critical,Very useful,Somewhat useful,Somewhat interested,Not interested,Very interested,Very interested,,,4 (lowest priority),3,1 (highest priority),2,,
1/6/2021 9:44:29,"Educator, Domain scientist / researcher",Geosciences,gitter,Regularly (~weekly),4,1,4,Yes (and I wouldn't mind a little less stability if it meant the project developed faster),"Documentation (http://xarray.pydata.org/), Stack Overflow #python-xarray tag, GitHub issue trackers (raising a new issue)",3,5 (most),4,1 (least),2,Regularly (~weekly),Regularly (~weekly),Regularly (~weekly),Never,Regularly (~weekly),Regularly (~weekly),Occasionally (~monthly),Regularly (~weekly),Never,Never,Never,Never,Occasionally (~monthly),Never,Never,Never,Never,,,3,"dask, matplotlib","I sometimes find myself befuddled by the syntax, and the docs often do not give examples of basic things.  ",Very useful,Very useful,Somewhat useful,Very useful,Somewhat useful,Very useful,Somewhat useful,Somewhat useful,Not relevant,Very useful,Not relevant,Very interested,Not interested,Very interested,Not interested,,,4 (lowest priority),3,2,1 (highest priority),,
1/6/2021 9:46:18,Domain scientist / researcher,"Fluid mechanics, optical fluid flow measurements, turbulence",Mailing list,Regularly (~weekly),1,1,2,Yes,"Documentation (http://xarray.pydata.org/), Tutorials (https://xarray-contrib.github.io/xarray-tutorial/), Stack Overflow #python-xarray tag",5 (most),3,1 (least),2,4,Regularly (~weekly),Never,Never,Never,Most days,Never,,Most days,,,,,Most days,,,,,,,4,"pandas, matplotlib, plotly","more examples and tutorials, some simple stuff takes long time to find on the internet",Somewhat useful,Critical,Critical,Somewhat useful,Somewhat useful,Critical,Not relevant,Critical,Critical,Critical,Somewhat useful,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested,Not interested,,2,1 (highest priority),4 (lowest priority),3,,
1/6/2021 9:47:36,Domain scientist / researcher,Geosciences,Friend,Most days,2,3,4,No,"Documentation (http://xarray.pydata.org/), Stack Overflow #python-xarray tag, GitHub issue trackers (raising a new issue), GitHub issue trackers (reading past issues), Github Discussions",4,5 (most),3,1 (least),2,Most days,Most days,Most days,Never,Regularly (~weekly),Most days,Most days,Most days,Occasionally (~monthly),Occasionally (~monthly),Occasionally (~monthly),Never,Occasionally (~monthly),Never,Never,Never,Never,,,2,dask,,Critical,Somewhat useful,Somewhat useful,Critical,Critical,Critical,"Somewhat useful, Very useful",Critical,Somewhat useful,Somewhat useful,Very useful,Very interested,Somewhat interested,Very interested,Somewhat interested,,,3,4 (lowest priority),2,1 (highest priority),,
1/6/2021 9:50:17,Domain scientist / researcher,Geosciences,Friend,Regularly (~weekly),4,2,1,Yes,"Documentation (http://xarray.pydata.org/), GitHub issue trackers (reading past issues)",4,5 (most),2,1 (least),3,Occasionally (~monthly),Never,Regularly (~weekly),Never,Regularly (~weekly),Regularly (~weekly),Regularly (~weekly),Regularly (~weekly),Never,Never,Occasionally (~monthly),Never,Occasionally (~monthly),Never,Never,Never,Occasionally (~monthly),Never,,2,"numpy, dask, matplotlib, netcdf, cartopy (to my eternal frustration), rasterio","More stability, transparency (to the user), and efficiency when dask spools to disk and makes the task 1000x slower instead of 10x faster. Stability and better map plotting, cartopy is a pain, breaks frequently, and doesn't even do some critical things (does it plot grid labels reliably for more projections yet?)",Critical,Very useful,Somewhat useful,Somewhat useful,Critical,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat interested,Not interested,Very interested,Somewhat interested,Not interested,,3,4 (lowest priority),2,1 (highest priority),,
1/6/2021 9:54:55,Scientist & Manager / Team Lead,Geosciences,Twitter,Occasionally (~monthly),4,2,3,Yes (and I wouldn't mind a little less stability if it meant the project developed faster),"Documentation (http://xarray.pydata.org/), Stack Overflow #python-xarray tag, GitHub issue trackers (reading past issues), Github Discussions",3,5 (most),4,1 (least),2,Occasionally (~monthly),Never,Occasionally (~monthly),Occasionally (~monthly),Occasionally (~monthly),Never,Never,Occasionally (~monthly),Occasionally (~monthly),Never,Never,Never,Never,Never,Never,Never,Never,Never,,2,"dask, intake",grid abstraction,Somewhat useful,Critical,Critical,Somewhat useful,Somewhat useful,Very useful,Somewhat useful,Somewhat useful,Very useful,Critical,Not relevant,Somewhat interested,Somewhat interested,Very interested,Very interested,Not interested,,3,4 (lowest priority),1 (highest priority),2,,
1/6/2021 9:56:47,"Software engineer / developer, System administrator, IOOS DMAC",Geosciences,Twitter,Regularly (~weekly),2,2,3,Yes,Documentation (http://xarray.pydata.org/),4,5 (most),2,1 (least),3,Occasionally (~monthly),Never,Never,Occasionally (~monthly),Occasionally (~monthly),Most days,,Most days,Occasionally (~monthly),Never,Occasionally (~monthly),Never,Never,Never,Never,Never,Never,Never,,3,ERDDAPY,,Very useful,Very useful,Very useful,Somewhat useful,Very useful,Somewhat useful,Very useful,Very useful,Very useful,Very useful,Somewhat useful,Somewhat interested,Somewhat interested,Somewhat interested,Very interested,Not interested,,4 (lowest priority),3,1 (highest priority),2,,
1/6/2021 9:58:16,Domain scientist / researcher,Geosciences,Friend,Most days,5,4,4,Yes,"Documentation (http://xarray.pydata.org/), Tutorials (https://xarray-contrib.github.io/xarray-tutorial/), Stack Overflow #python-xarray tag, GitHub issue trackers (reading past issues)",5 (most),1 (least),3,2,4,Never,Occasionally (~monthly),Most days,Never,Most days,Most days,Occasionally (~monthly),Most days,Never,Never,Occasionally (~monthly),Occasionally (~monthly),Never,Never,Never,Never,Never,,,4,"dask, pandas",,Somewhat useful,Somewhat useful,Very useful,Somewhat useful,Somewhat useful,Very useful,Very useful,Very useful,Very useful,Critical,Critical,Very interested,Somewhat interested,Somewhat interested,Very interested,,,1 (highest priority),4 (lowest priority),3,2,,
1/6/2021 9:59:41,"Educator, research engineer","Geosciences, Statistics & Machine Learning",Twitter,Occasionally (~monthly),1,0,0,Yes,Documentation (http://xarray.pydata.org/),2,5 (most),1 (least),4,3,Regularly (~weekly),Occasionally (~monthly),Occasionally (~monthly),,Regularly (~weekly),Occasionally (~monthly),,Occasionally (~monthly),,,Occasionally (~monthly),Regularly (~weekly),Regularly (~weekly),,,,Most days,,,3,"numpy, pandas",,Very useful,Very useful,Very useful,Somewhat useful,Very useful,Somewhat useful,Somewhat useful,Very useful,Very useful,Very useful,Somewhat useful,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested,,,1 (highest priority),2,3,4 (lowest priority),,
1/6/2021 10:03:45,Software engineer / developer,Statistics & Machine Learning,GitHub,Occasionally (~monthly),1,0,0,Yes,"Documentation (http://xarray.pydata.org/), GitHub issue trackers (reading past issues)",1 (least),4,3,2,5 (most),Most days,Never,Never,Never,Occasionally (~monthly),Never,Never,Never,Never,Never,Never,Occasionally (~monthly),Occasionally (~monthly),Regularly (~weekly),Occasionally (~monthly),Regularly (~weekly),Occasionally (~monthly),,,1,"dask,scikit-learn",stability,Very useful,Very useful,Critical,Critical,Critical,Very useful,Critical,Critical,Somewhat useful,Critical,Critical,Very interested,Very interested,Very interested,Somewhat interested,,,4 (lowest priority),3,1 (highest priority),2,,
1/6/2021 10:05:31,Data scientist,Statistics & Machine Learning,Twitter,Regularly (~weekly),4,3,4,Yes (and I wouldn't mind a little less stability if it meant the project developed faster),"Documentation (http://xarray.pydata.org/), Tutorials (https://xarray-contrib.github.io/xarray-tutorial/), GitHub issue trackers (raising a new issue), GitHub issue trackers (reading past issues)",2,5 (most),4,3,1 (least),Regularly (~weekly),Never,Never,Never,Regularly (~weekly),Never,Never,Occasionally (~monthly),Occasionally (~monthly),Occasionally (~monthly),,Never,Never,Never,Never,Never,Occasionally (~monthly),Never,,4,Scikit-learn,More IO docs/examples. E.g. ETL example of netcdf -> zarr -> data on GPU for DL,Somewhat useful,Very useful,Very useful,Very useful,Somewhat useful,Somewhat useful,Critical,Critical,Somewhat useful,Critical,Critical,Very interested,Somewhat interested,Very interested,Not interested,,,3,4 (lowest priority),1 (highest priority),2,,
1/6/2021 10:08:31,Domain scientist / researcher,Biosciences,GitHub,Regularly (~weekly),3,2,4,Yes,Documentation (http://xarray.pydata.org/),5 (most),2,3,4,1 (least),Occasionally (~monthly),Regularly (~weekly),Occasionally (~monthly),Occasionally (~monthly),Regularly (~weekly),Regularly (~weekly),Never,Occasionally (~monthly),Never,Never,Never,Occasionally (~monthly),Occasionally (~monthly),Occasionally (~monthly),Never,Never,Never,Never,,3,"pandas, scikit-learn, matplotlib","It would be helpful to have more examples in the API reference....perhaps grouped by ""simple"" and ""advanced"" usages of each method",Somewhat useful,Very useful,Very useful,Somewhat useful,Very useful,Very useful,Somewhat useful,Somewhat useful,Somewhat useful,Very useful,Very useful,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested,,,3,4 (lowest priority),1 (highest priority),2,,
1/6/2021 10:08:40,"Domain scientist / researcher, Software engineer / developer",plasma physics,GitHub,Most days,2,2,3,Yes (and I wouldn't mind a little less stability if it meant the project developed faster),"Documentation (http://xarray.pydata.org/), GitHub issue trackers (raising a new issue), GitHub issue trackers (reading past issues)",2,5 (most),3,1 (least),4,Regularly (~weekly),Most days,Occasionally (~monthly),Never,Most days,Occasionally (~monthly),Never,Most days,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,,4,"dask, matplotlib","animations
3d plotting
FFTs
support for staggered grids
support for non-simply-connected meshes",Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Very useful,Not relevant,Very useful,Somewhat useful,Very useful,Somewhat useful,Not relevant,Not interested,Not interested,Very interested,Very interested,Not interested,,3,4 (lowest priority),2,1 (highest priority),,
1/6/2021 10:09:56,Domain scientist / researcher,Geosciences,Mailing list,Most days,1,1,4,Yes,"Documentation (http://xarray.pydata.org/), Stack Overflow #python-xarray tag",4,3,1 (least),2,5 (most),Never,Most days,Most days,Never,Most days,Regularly (~weekly),,Most days,Never,Never,Never,Never,Never,Regularly (~weekly),Never,Never,Occasionally (~monthly),,,2,,,Somewhat useful,Very useful,Very useful,Somewhat useful,Somewhat useful,Very useful,Somewhat useful,Very useful,Very useful,Very useful,Not relevant,,,,,,,4 (lowest priority),2,3,1 (highest priority),,
1/6/2021 10:11:45,Domain scientist / researcher,Geosciences,Twitter,Most days,1,2,3,Yes,"Documentation (http://xarray.pydata.org/), Stack Overflow #python-xarray tag",5 (most),3,1 (least),4,2,Never,Never,Most days,Never,Most days,Occasionally (~monthly),Regularly (~weekly),Regularly (~weekly),Never,Never,Never,Never,Regularly (~weekly),Never,Never,Never,Never,,,1,,Better documentation ,Not relevant,Critical,Critical,Not relevant,Somewhat useful,Somewhat useful,Not relevant,Not relevant,Not relevant,Critical,Somewhat useful,Not interested,Not interested,Somewhat interested,Not interested,Not interested,,3,4 (lowest priority),2,1 (highest priority),,
1/6/2021 10:17:53,Software engineer / developer,computing,gitter,Regularly (~weekly),3,2,1,Yes,"Documentation (http://xarray.pydata.org/), Stack Overflow #python-xarray tag, GitHub issue trackers (reading past issues)",5 (most),3,4,1 (least),2,Regularly (~weekly),Never,Never,Regularly (~weekly),Regularly (~weekly),Never,Never,Occasionally (~monthly),Regularly (~weekly),Never,Occasionally (~monthly),Never,Occasionally (~monthly),Never,Never,Never,Never,Never,,4,,,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Very useful,Not relevant,Very useful,Somewhat useful,Somewhat useful,Somewhat interested,Somewhat interested,Very interested,Very interested,Not interested,,1 (highest priority),4 (lowest priority),3,2,,
1/6/2021 10:19:57,"Domain scientist / researcher, Data scientist",Geosciences,Twitter,Most days,3,3,4,Yes,"Documentation (http://xarray.pydata.org/), Stack Overflow #python-xarray tag, GitHub issue trackers (reading past issues)",5 (most),1 (least),4,3,2,Most days,Occasionally (~monthly),Never,Regularly (~weekly),Most days,Occasionally (~monthly),Occasionally (~monthly),Occasionally (~monthly),Occasionally (~monthly),Never,Most days,Never,Regularly (~weekly),Regularly (~weekly),Never,Never,Occasionally (~monthly),Never,,4,"hvplot, dask, geopandas, rioxarray, s3fs, intake",coordinate reference system handling (or coordination with rioxarray extension).,Very useful,Very useful,Critical,Very useful,Very useful,Very useful,Critical,Somewhat useful,Somewhat useful,Very useful,Somewhat useful,Very interested,Somewhat interested,Very interested,Somewhat interested,,,1 (highest priority),4 (lowest priority),3,2,,
1/6/2021 10:21:14,"Domain scientist / researcher, Data scientist","Biosciences, Geosciences, Statistics & Machine Learning",Pangeo,Most days,3,3,4,Yes (and I wouldn't mind a little less stability if it meant the project developed faster),"Documentation (http://xarray.pydata.org/), Stack Overflow #python-xarray tag, GitHub issue trackers (reading past issues), Github Discussions",4,3,5 (most),1 (least),2,Regularly (~weekly),,Most days,Occasionally (~monthly),Most days,Never,,Occasionally (~monthly),Most days,Never,Most days,Occasionally (~monthly),Regularly (~weekly),Occasionally (~monthly),Never,Never,Occasionally (~monthly),Regularly (~weekly),TileDB,4,"dask, pandas, scikit-learn, rasterio, holoviews, hvplot, xhistogram, intake, fsspec, stac",Better tools for mosaicing datasets,Somewhat useful,Very useful,Very useful,Critical,Critical,Very useful,Critical,Critical,Somewhat useful,Somewhat useful,Critical,Very interested,Very interested,Very interested,Somewhat interested,Not interested,NA,1 (highest priority),2,4 (lowest priority),3,,
1/6/2021 10:24:19,Domain scientist / researcher,Geosciences,Friend,Most days,2,3,3,No,"Documentation (http://xarray.pydata.org/), Stack Overflow #python-xarray tag, GitHub issue trackers (raising a new issue), GitHub issue trackers (reading past issues), Github Discussions",4,3,5 (most),1 (least),2,Occasionally (~monthly),Never,Most days,Never,Most days,Occasionally (~monthly),Never,Most days,Most days,Occasionally (~monthly),Never,Never,Never,Most days,Never,Never,Never,Never,,2,"dask, xgcm, matplotlib, datetime, distributed","more reliability, more statistics packages, filtering, spectra analyses ",Somewhat useful,Critical,Critical,Very useful,"Very useful, Critical",Critical,Somewhat useful,Very useful,Very useful,Critical,Not relevant,Somewhat interested,Not interested,Very interested,Not interested,Not interested,,3,4 (lowest priority),1 (highest priority),2,,
1/6/2021 10:27:25,Software engineer / developer,Geosciences,Pangeo Gitter,Occasionally (~monthly),2,1,4,Yes,"Documentation (http://xarray.pydata.org/), Stack Overflow #python-xarray tag, GitHub issue trackers (raising a new issue), GitHub issue trackers (reading past issues)",3,5 (most),4,1 (least),2,Occasionally (~monthly),Never,Never,Occasionally (~monthly),Occasionally (~monthly),Occasionally (~monthly),Never,Occasionally (~monthly),Occasionally (~monthly),Never,Never,Never,Never,Never,Never,Never,Never,Never,,4,"dask, nc_time_axis",,Not relevant,Very useful,Somewhat useful,Not relevant,Not relevant,Not relevant,Very useful,Very useful,Not relevant,Somewhat useful,Not relevant,Very interested,Not interested,Somewhat interested,Not interested,Not interested,,4 (lowest priority),1 (highest priority),2,3,,
