Timestamp,What is the job title that best describes your role when using Xarray?,What field do you work in?,How did you hear about this survey?,How often do you use Xarray?,How many years have you been using Xarray?,How do you rate your level of Xarray proficiency?,"For your applications that use Xarray, how critical is Xarray?",Is Xarray stable enough for you?,What Xarray resources have you used for support in the last six months?,"Which of Xarray's core features are most important to you? [Label-based indexing, interpolation, groupby, reindexing, and computation]",Which of Xarray's core features are most important to you? [Reading and writing files],Which of Xarray's core features are most important to you? [Parallel computation with Dask],Which of Xarray's core features are most important to you? [Interoperability with Pandas],Which of Xarray's core features are most important to you? [Plotting],Where do you use Xarray? [Personal laptop],Where do you use Xarray? [Large workstation],Where do you use Xarray? [HPC cluster],Where do you use Xarray? [Cloud cluster],Interactive or batch? [Interactive:  I use Xarray with Jupyter or IPython when playing with data],Interactive or batch? [Batch: I use Xarray in scripts that run in the future],Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [NetCDF 3*],Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [NetCDF 4*],Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [Zarr*],Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [GRIB*],Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [GeoTIFF*],Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [Python Pickle*],Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [HDF 4/5],"Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [Other Image format (PNG, JPG, TIFF, etc.)]",Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [Video (e.g. MP4)],Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [Database (e.g. MongoDB)],"Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [Tensors (e.g. PyTorch, Tensorflow, NumPy)]",Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [Other],"If you answered ""Other"" above, please list any additional formats:",How easy is it for you to upgrade to newer versions of Python libraries?,"What are some other libraries that you often use with Xarray? (e.g. ""dask, pandas, scikit-learn"") ",What would make Xarray even more useful for your work?,What development activities would help you most right now? [Bug fixes],What development activities would help you most right now? [More documentation],What development activities would help you most right now? [More examples in my domain],What development activities would help you most right now? [New features],What development activities would help you most right now? [Performance improvements],"What common feature requests do you care about most? [More flexible indexing (i.e. selection, alignment)]","What common feature requests do you care about most? [More flexible backend arrays (e.g. Dask, CuPy, Pint, Sparse)]","What common feature requests do you care about most? [More flexible file IO (e.g. netCDF, Zarr, DB)]",What common feature requests do you care about most? [Better physical unit support],What common feature requests do you care about most? [Better documentation / more examples from my field],"What common feature requests do you care about most? [Better interoperability with Machine Learning libraries (e.g. Scikit-learn, Tensorflow)]","What common feature requests do you care about most? [New data structures (e.g. lightweight labeled array, tree-like dataset)]",Xarray supports multiple backend array types (e.g. NumPy and Dask). Rank your interest non-NumPy backend array support: [CuPy (GPU) arrays],Xarray supports multiple backend array types (e.g. NumPy and Dask). Rank your interest non-NumPy backend array support: [Sparse arrays],Xarray supports multiple backend array types (e.g. NumPy and Dask). Rank your interest non-NumPy backend array support: [Dask arrays],Xarray supports multiple backend array types (e.g. NumPy and Dask). Rank your interest non-NumPy backend array support: [Pint (unit-aware) arrays],Xarray supports multiple backend array types (e.g. NumPy and Dask). Rank your interest non-NumPy backend array support: [Other],"If you answered ""Other"" above, list any additional array types:"
6/1/2022 11:08:58,"Domain scientist / researcher, Data scientist, Software engineer / developer",Geosciences,Mailing list,Most days,6,4,4,Yes,"Documentation (https://docs.xarray.dev/), Stack Overflow #python-xarray tag, GitHub issue trackers (raising a new issue), GitHub issue trackers (reading past issues)",5 (most),4,2,1 (least),3,Most days,Most days,Most days,Most days,Most days,Most days,Occasionally (~monthly),Most days,Most days,Never,Never,Never,Occasionally (~monthly),Never,Never,Never,Never,Never,,4,"xgcm, dask, cmip6_preprocessing",Honestly do not know at this point. Its pretty darn good,Critical,Very useful,Somewhat useful,Very useful,Critical,Critical,Critical,Critical,Very useful,Somewhat useful,Very useful,Very useful,Very interested,Somewhat interested,Somewhat interested,Very interested,,
6/1/2022 11:11:45,Domain scientist / researcher,Geosciences,Mailing list,Most days,3,3,4,Yes,"Documentation (https://docs.xarray.dev/), Tutorials (https://tutorial.xarray.dev), Stack Overflow #python-xarray tag, GitHub issue trackers (reading past issues)",5 (most),2,4,1 (least),3,Never,Never,Most days,Occasionally (~monthly),Most days,Occasionally (~monthly),Occasionally (~monthly),Most days,Most days,Never,Never,Never,Never,Never,Never,Never,Never,Never,,4,"dask, xgcm, matplotlib, numpy","Easier integration with dask, facilitating/automating chunking, parallelizing groupby function, and easier to follow tutorial online.   ",Not relevant,Very useful,Very useful,Very useful,Critical,Critical,Very useful,Very useful,Not relevant,Critical,Somewhat useful,Somewhat useful,Not interested,Not interested,Very interested,Not interested,,
6/1/2022 11:16:46,"Domain scientist / researcher, Software engineer / developer",Thermodynamics,Twitter,Most days,2,3,4,Yes,"Documentation (https://docs.xarray.dev/), Stack Overflow #python-xarray tag",5 (most),1 (least),4,3,2,Most days,Most days,Occasionally (~monthly),Never,Regularly (~weekly),Most days,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,,,4,Dask pandas numpy scipy vtk ,Indirect indexing (non structured data),Very useful,Somewhat useful,Not relevant,Very useful,Critical,Somewhat useful,Somewhat useful,Not relevant,Somewhat useful,Somewhat useful,Not relevant,Somewhat useful,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested,Not interested,
6/1/2022 11:17:16,"Educator, Domain scientist / researcher, Software engineer / developer",Geosciences,Gitter chat,Most days,4,3,3,Yes,"Documentation (https://docs.xarray.dev/), Tutorials (https://tutorial.xarray.dev), Stack Overflow #python-xarray tag, GitHub issue trackers (reading past issues), Github Discussions",2,,3,1 (least),,Regularly (~weekly),Most days,,,Most days,Most days,,Regularly (~weekly),,Occasionally (~monthly),Occasionally (~monthly),,Regularly (~weekly),Occasionally (~monthly),,,,Most days,"ODIM, CfRadial, Iris/Sigmet, Rainbow, Radolan, Furuno (all weather radar data))",4,Dask,,Very useful,Somewhat useful,Somewhat useful,Somewhat useful,"Very useful, Critical",Critical,Very useful,Very useful,Somewhat useful,Somewhat useful,Somewhat useful,"Very useful, Critical",Somewhat interested,Very interested,Very interested,Somewhat interested,,
6/1/2022 11:27:06,"Domain scientist / researcher, Data scientist, Software engineer / developer",Geosciences,Twitter,Most days,5,3,4,Yes,"Documentation (https://docs.xarray.dev/), Tutorials (https://tutorial.xarray.dev), GitHub issue trackers (reading past issues)",5 (most),2,4,1 (least),3,Regularly (~weekly),Regularly (~weekly),Occasionally (~monthly),Never,Most days,Never,Regularly (~weekly),Most days,Most days,,,,,,,,,,,4,"Dask, MetPy",More flexible indexing,Very useful,Somewhat useful,Critical,Critical,Very useful,Critical,"Very useful, Critical",Very useful,Very useful,Very useful,Somewhat useful,Critical,Very interested,Somewhat interested,Somewhat interested,Very interested,,
6/1/2022 11:28:26,"Educator, Domain scientist / researcher",Geosciences,Mailing list,Most days,8,3,4,Yes,"Documentation (https://docs.xarray.dev/), Tutorials (https://tutorial.xarray.dev), Stack Overflow #python-xarray tag",5 (most),3,4,2,1 (least),Occasionally (~monthly),Regularly (~weekly),Most days,Never,Most days,Occasionally (~monthly),Occasionally (~monthly),Most days,Occasionally (~monthly),Occasionally (~monthly),Never,Occasionally (~monthly),Occasionally (~monthly),Never,Never,Never,Never,Occasionally (~monthly),other flavors of binary files,3,"dask, numpy, matplotlib, scikit-learn, skimage",More/clearer documentation for map_blocks and apply_ufuncs,Very useful,Very useful,Very useful,Somewhat useful,Very useful,Critical,Somewhat useful,Critical,Somewhat useful,Very useful,Somewhat useful,Somewhat useful,Not interested,Very interested,Very interested,Somewhat interested,,
6/1/2022 11:31:37,Software engineer / developer,Geosciences,Mailing list,Regularly (~weekly),5,2,4,Yes,"Documentation (https://docs.xarray.dev/), Stack Overflow #python-xarray tag, GitHub issue trackers (reading past issues)",4,5 (most),3,2,1 (least),Regularly (~weekly),Never,Never,Never,Regularly (~weekly),Regularly (~weekly),Never,Regularly (~weekly),Occasionally (~monthly),Regularly (~weekly),Never,Never,Never,Never,Never,Never,Never,Never,,4,MetPy,,Critical,Somewhat useful,Somewhat useful,Somewhat useful,Very useful,Critical,Very useful,Very useful,Critical,"Not relevant, Somewhat useful",Not relevant,Somewhat useful,Somewhat interested,Not interested,Very interested,Very interested,,
6/1/2022 11:38:22,"Student, Domain scientist / researcher","Biosciences, Statistics & Machine Learning",Mailing list,,1,3,2,Yes,"Documentation (https://docs.xarray.dev/), Tutorials (https://tutorial.xarray.dev), GitHub issue trackers (reading past issues)",3,4,5 (most),2,1 (least),Most days,Never,Regularly (~weekly),Never,Most days,Occasionally (~monthly),Never,Occasionally (~monthly),Most days,Never,Never,Never,Never,,Never,Never,Occasionally (~monthly),,,4,"dask, numpy, pandas, scikit-image, aicsimageio",,Somewhat useful,Very useful,Very useful,Somewhat useful,Very useful,Somewhat useful,Very useful,Critical,Not relevant,Very useful,Very useful,Very useful,Somewhat interested,Somewhat interested,Very interested,Not interested,,
6/1/2022 11:55:21,Domain scientist / researcher,Geosciences,gitter,Regularly (~weekly),5,3,4,Yes,Documentation (https://docs.xarray.dev/),5 (most),4,3,2,1 (least),Regularly (~weekly),Never,Regularly (~weekly),Never,Most days,Occasionally (~monthly),Occasionally (~monthly),Regularly (~weekly),Most days,Never,Never,Never,Never,Never,Never,Never,Never,,,4,"dask, pandas, numpy, scipy",improved interroperability with dask dataframes (may be adressed by now),Somewhat useful,Somewhat useful,Somewhat useful,Very useful,Very useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Very useful,Somewhat interested,Very interested,Very interested,Very interested,,
6/1/2022 12:05:54,Domain scientist / researcher,Geosciences,Twitter,Most days,3,3,3,Yes (and I wouldn't mind a little less stability if it meant the project developed faster),"Documentation (https://docs.xarray.dev/), Stack Overflow #python-xarray tag, GitHub issue trackers (raising a new issue), GitHub issue trackers (reading past issues)",5 (most),4,2,3,1 (least),Most days,,Occasionally (~monthly),,Most days,Never,Regularly (~weekly),Regularly (~weekly),,,,,Most days,,,,,,,2,scikit-learn,ability to modify part of files without having to rewrite the whole file when saving ,,Very useful,,Very useful,,Very useful,,,,,,Very useful,,,Very interested,,,
6/1/2022 12:06:00,Student,"Statistics & Machine Learning, Computational Hydrology",GitHub,Most days,4,3,4,Yes (and I wouldn't mind a little less stability if it meant the project developed faster),"Documentation (https://docs.xarray.dev/), Tutorials (https://tutorial.xarray.dev), GitHub issue trackers (raising a new issue), GitHub issue trackers (reading past issues)",5 (most),2,4,3,1 (least),Most days,Regularly (~weekly),Occasionally (~monthly),Never,Most days,Occasionally (~monthly),Most days,Most days,,Never,Most days,Never,Occasionally (~monthly),Never,Never,Never,Occasionally (~monthly),Never,,4,"dask, pandas, proplot, geopandas, numba","Applying functions to large datasets are currently a bit complicated, having a more user-friendly way can be huge help",Very useful,Very useful,Very useful,Somewhat useful,Critical,Somewhat useful,Very useful,Very useful,Very useful,Very useful,Very useful,Critical,Very interested,Very interested,Very interested,Somewhat interested,Not interested,
6/1/2022 12:08:35,"Student, Software engineer / developer",Geosciences,Friend,Regularly (~weekly),1,2,3,Yes,"Documentation (https://docs.xarray.dev/), Tutorials (https://tutorial.xarray.dev), Stack Overflow #python-xarray tag",5 (most),4,1 (least),2,3,Regularly (~weekly),Never,Never,Never,Most days,Never,Never,Most days,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,,4,,,Somewhat useful,Very useful,Very useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Not relevant,Not relevant,Very useful,Somewhat useful,Somewhat useful,Not interested,Not interested,Somewhat interested,Not interested,,
6/1/2022 12:08:42,"Domain scientist / researcher, Data scientist, Software engineer / developer",Geosciences,ESIP slack channel,Most days,8,3,4,Yes,"Documentation (https://docs.xarray.dev/), Stack Overflow #python-xarray tag",2,5 (most),3,4,1 (least),Most days,Most days,Most days,Most days,Most days,Regularly (~weekly),,Most days,Occasionally (~monthly),,,,,,,,Occasionally (~monthly),,,4,"numpy, pandas, scipy, bokeh, holoviews, ",GPU support,Very useful,Very useful,Critical,Very useful,Critical,Very useful,Critical,Very useful,Somewhat useful,Very useful,Very useful,Somewhat useful,Very interested,Somewhat interested,Somewhat interested,Not interested,,
6/1/2022 12:20:01,"Student, Domain scientist / researcher",Geosciences,Twitter,Most days,4,3,2,Yes (and I wouldn't mind a little less stability if it meant the project developed faster),"Documentation (https://docs.xarray.dev/), Tutorials (https://tutorial.xarray.dev), Stack Overflow #python-xarray tag, Github Discussions",1 (least),5 (most),4,2,3,Most days,Never,Regularly (~weekly),Never,Most days,Regularly (~weekly),Never,Most days,Occasionally (~monthly),Never,Never,Occasionally (~monthly),Never,Never,Never,Never,Occasionally (~monthly),,,3,"Dask, pandas, seaborn, scipy, numpy",A great feature would be to incorporate pandas plot interface: I usually have to convert my dataarrays to dataframe or series to use the pandas plot (da.to_series().plot.kde() for example),Somewhat useful,Somewhat useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Somewhat useful,Somewhat useful,Somewhat useful,Critical,Not interested,Not interested,Very interested,Not interested,,
6/1/2022 12:20:44,"Domain scientist / researcher, Data scientist",Agrometeorology,GitHub,Most days,1,4,4,Yes (and I wouldn't mind a little less stability if it meant the project developed faster),"Documentation (https://docs.xarray.dev/), Tutorials (https://tutorial.xarray.dev), GitHub issue trackers (raising a new issue), Github Discussions",5 (most),4,1 (least),3,2,Occasionally (~monthly),Most days,Never,Never,Most days,Never,Occasionally (~monthly),Regularly (~weekly),Never,Regularly (~weekly),Never,Never,Regularly (~weekly),Never,Never,Never,Never,,,4,"Pandas, numpy, rioxarray","Improve the .where functionality to cover multiple scenarios. For instance, where condition 1 is True, keep result 1, while condition 2 is True, keep result 2, while condition 3 is True, return result 3....... I hope there could have a function to implement above steps.",Critical,Critical,Critical,Critical,Critical,Critical,Somewhat useful,Very useful,Very useful,Critical,Critical,Critical,Somewhat interested,Somewhat interested,Very interested,Somewhat interested,Somewhat interested,
6/1/2022 12:21:21,Student,Geosciences,Friend,Most days,1,2,4,Yes,"Documentation (https://docs.xarray.dev/), Tutorials (https://tutorial.xarray.dev), Stack Overflow #python-xarray tag, GitHub issue trackers (reading past issues)",3,2,5 (most),1 (least),4,Occasionally (~monthly),Most days,Never,Most days,Most days,Never,Occasionally (~monthly),Most days,Most days,Never,Never,Never,Occasionally (~monthly),Most days,Never,Never,Most days,,,4,"numpy, pandas, zarr, dask, matplotlib, seaborn, cartopy, xgcm",,Somewhat useful,Critical,Critical,Very useful,Very useful,Critical,Very useful,Somewhat useful,Somewhat useful,Critical,Very useful,Very useful,Somewhat interested,Somewhat interested,Very interested,Not interested,,
6/1/2022 12:22:20,"Domain scientist / researcher, Data scientist",Statistics & Machine Learning,Twitter,Most days,2,1,1,Yes,"Documentation (https://docs.xarray.dev/), Tutorials (https://tutorial.xarray.dev)",5 (most),1 (least),3,4,2,,Most days,,,Most days,Never,Never,Never,Never,Never,Never,Most days,,Never,Never,Never,Most days,,,2,"hist, pandas, statsmodels",multi-level groupby,,Very useful,Very useful,Very useful,Very useful,Very useful,Not relevant,Not relevant,Not relevant,Very useful,Critical,Critical,Somewhat interested,Very interested,Somewhat interested,Not interested,,
6/1/2022 12:29:21,"Educator, Domain scientist / researcher",Geosciences,Friend,Regularly (~weekly),6,3,3,Yes,"Documentation (https://docs.xarray.dev/), Tutorials (https://tutorial.xarray.dev), Stack Overflow #python-xarray tag",5 (most),2,1 (least),4,3,Regularly (~weekly),Regularly (~weekly),Occasionally (~monthly),Occasionally (~monthly),Regularly (~weekly),Regularly (~weekly),Regularly (~weekly),Most days,Occasionally (~monthly),Never,Occasionally (~monthly),Never,Occasionally (~monthly),Never,Never,Never,Occasionally (~monthly),,,2,"pandas, matplotlib, numpy, dask",,Critical,Very useful,Somewhat useful,Very useful,Very useful,Very useful,Somewhat useful,Very useful,Somewhat useful,Somewhat useful,Very useful,Very useful,Somewhat interested,Very interested,Very interested,Somewhat interested,,
6/1/2022 12:34:32,"Domain scientist / researcher, Data scientist",Geosciences,Mailing list,Most days,4,2,4,Yes,"Documentation (https://docs.xarray.dev/), Tutorials (https://tutorial.xarray.dev), Stack Overflow #python-xarray tag, GitHub issue trackers (reading past issues)",3,4,5 (most),1 (least),2,Occasionally (~monthly),Never,Most days,Occasionally (~monthly),Most days,Never,Occasionally (~monthly),Regularly (~weekly),Most days,Never,Occasionally (~monthly),Occasionally (~monthly),Occasionally (~monthly),Never,Never,Never,Never,,,2,"dask, pandas, xgcm, xrft, xesmf, scipy, cartopy, rechunker, proplot, seaborn, matplotlib w/cmocean",improved internal support for grids and units,Somewhat useful,Critical,Critical,Very useful,Somewhat useful,Very useful,Somewhat useful,Very useful,Critical,Very useful,Critical,Very useful,Very interested,Very interested,Very interested,Very interested,,
6/1/2022 12:38:15,"Data scientist, Software engineer / developer",Geosciences,Mailing list,Regularly (~weekly),6,3,3,Yes (and I wouldn't mind a little less stability if it meant the project developed faster),"Documentation (https://docs.xarray.dev/), Tutorials (https://tutorial.xarray.dev), GitHub issue trackers (reading past issues)",5 (most),3,2,4,1 (least),Occasionally (~monthly),Regularly (~weekly),Never,Never,Occasionally (~monthly),Regularly (~weekly),Never,Regularly (~weekly),Never,Regularly (~weekly),Occasionally (~monthly),Regularly (~weekly),Regularly (~weekly),Never,Never,Never,Never,Never,,4,"gdal, pyproj, numpy, scipy, pandas, dask","Grouping by multiple dimensions, e.g. lat+lon or row+col. Currently I create a surrogate key for grouping using numpy functions `meshgrid` and `ravel_multi_index`. Looking forward to the explicit indexes support currently in development (GitHub Project #1).",Very useful,Somewhat useful,Somewhat useful,Critical,Critical,Critical,Very useful,Somewhat useful,Very useful,Somewhat useful,Not relevant,Very useful,Not interested,Very interested,Very interested,Very interested,Not interested,
6/1/2022 12:44:12,Domain scientist / researcher,"Geosciences, Statistics & Machine Learning",Twitter,Occasionally (~monthly),2,0,1,Yes (and I wouldn't mind a little less stability if it meant the project developed faster),"Documentation (https://docs.xarray.dev/), Tutorials (https://tutorial.xarray.dev)",3,5 (most),1 (least),4,2,Occasionally (~monthly),Never,Occasionally (~monthly),Never,Occasionally (~monthly),Occasionally (~monthly),Occasionally (~monthly),Occasionally (~monthly),Never,Never,Most days,Occasionally (~monthly),Occasionally (~monthly),Never,Never,Most days,Regularly (~weekly),,,3,,,Somewhat useful,Somewhat useful,Very useful,Very useful,Somewhat useful,Somewhat useful,Not relevant,Very useful,Very useful,Very useful,Very useful,Somewhat useful,Somewhat interested,Somewhat interested,Not interested,Very interested,,
6/1/2022 12:45:12,Educator,"Biosciences, Geosciences",Twitter,Regularly (~weekly),3,2,3,Yes,"Documentation (https://docs.xarray.dev/), Tutorials (https://tutorial.xarray.dev)",5 (most),3,2,1 (least),4,Occasionally (~monthly),Regularly (~weekly),Never,Never,Never,Never,Regularly (~weekly),Regularly (~weekly),Never,Never,Occasionally (~monthly),Never,Never,Never,Never,Never,Occasionally (~monthly),Never,,2,"pandas, numpy, matplotlib",,Somewhat useful,Somewhat useful,Very useful,Somewhat useful,Critical,Very useful,Critical,Very useful,Somewhat useful,Very useful,Somewhat useful,Somewhat useful,Very interested,Not interested,Very interested,Not interested,Not interested,
6/1/2022 12:48:43,"Domain scientist / researcher, Data scientist, Software engineer / developer",Geosciences,Mailing list,Most days,6,3,4,Yes,"Documentation (https://docs.xarray.dev/), Tutorials (https://tutorial.xarray.dev), Stack Overflow #python-xarray tag, GitHub issue trackers (reading past issues)",5 (most),1 (least),2,3,4,Most days,Never,Occasionally (~monthly),Most days,Most days,Regularly (~weekly),Occasionally (~monthly),Most days,Occasionally (~monthly),Most days,Most days,Most days,Occasionally (~monthly),Occasionally (~monthly),Regularly (~weekly),Never,Occasionally (~monthly),Never,,3,"pandas, salem, scikit-learn","all plotting as direct methods of objects, not a mixture with module methods",Very useful,Very useful,Somewhat useful,Critical,Critical,Critical,Very useful,Very useful,Somewhat useful,Very useful,Very useful,Very useful,Somewhat interested,Somewhat interested,Very interested,Very interested,Not interested,
6/1/2022 12:54:57,Domain scientist / researcher,Geosciences,Friend,Regularly (~weekly),6,2,1,Yes,"Documentation (https://docs.xarray.dev/), Stack Overflow #python-xarray tag",3,5 (most),2,1 (least),4,Occasionally (~monthly),Occasionally (~monthly),Regularly (~weekly),Never,Regularly (~weekly),Regularly (~weekly),Never,Regularly (~weekly),Never,Never,Occasionally (~monthly),Never,Never,Never,Never,Never,Never,Never,,3,cartopy,better map projection and reprojection support (I haven't really explored xesmf as much as I should though),Very useful,Very useful,Very useful,Somewhat useful,Very useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Very useful,Somewhat useful,Somewhat useful,Very interested,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested,
6/1/2022 13:09:25,"Data scientist, Software engineer / developer",Geosciences,Mailing list,Regularly (~weekly),5,3,4,Yes,"Documentation (https://docs.xarray.dev/), GitHub issue trackers (reading past issues)",5 (most),4,3,1 (least),2,Regularly (~weekly),Never,Never,Regularly (~weekly),Regularly (~weekly),Occasionally (~monthly),Never,Occasionally (~monthly),Occasionally (~monthly),Never,Most days,Never,Never,Never,Never,Never,Never,Never,,3,"dask,stackstac,odc-stac",,Somewhat useful,Somewhat useful,Very useful,Very useful,Very useful,Very useful,Very useful,Somewhat useful,Somewhat useful,Very useful,Very useful,Somewhat useful,Somewhat interested,Not interested,Very interested,Somewhat interested,Not interested,
6/1/2022 13:12:49,"Educator, Software engineer / developer",Geosciences,ESIP Slack Workspace,Regularly (~weekly),5,3,4,Yes,"Documentation (https://docs.xarray.dev/), GitHub issue trackers (reading past issues)",5 (most),3,4,1 (least),2,Regularly (~weekly),Never,Never,Never,Regularly (~weekly),Regularly (~weekly),Regularly (~weekly),Regularly (~weekly),Occasionally (~monthly),Occasionally (~monthly),Never,Never,Occasionally (~monthly),Never,Never,Never,Never,Never,,4,"Pint, MetPy",,Somewhat useful,Somewhat useful,Not relevant,Very useful,Somewhat useful,Very useful,Critical,Somewhat useful,Very useful,Not relevant,Not relevant,Very useful,Somewhat interested,Not interested,Somewhat interested,Very interested,Not interested,
6/1/2022 13:18:11,"Educator, Domain scientist / researcher, Software engineer / developer","Geosciences, Statistics & Machine Learning",Mailing list,Most days,4,2,4,Yes,"Documentation (https://docs.xarray.dev/), Stack Overflow #python-xarray tag, GitHub issue trackers (reading past issues)",5 (most),3,4,1 (least),2,Regularly (~weekly),Regularly (~weekly),Regularly (~weekly),Never,Regularly (~weekly),Occasionally (~monthly),Never,Regularly (~weekly),Occasionally (~monthly),Never,Regularly (~weekly),Never,Never,Never,Never,Never,Regularly (~weekly),,,4,"Dask, rasterio, affine, pytorch, numpy, numba, fiona","Better support for coordinate reference systems (crs), warping grids between crs, handling of vector data (see stars project of the R programing language which elegantly handles both vector and gridded data) ",Very useful,Somewhat useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Not relevant,Very useful,Very useful,Very useful,Somewhat interested,Somewhat interested,Very interested,Not interested,Not interested,
6/1/2022 13:21:06,Student,Geosciences,Twitter,Most days,2,2,3,Yes (and I wouldn't mind a little less stability if it meant the project developed faster),"Documentation (https://docs.xarray.dev/), Tutorials (https://tutorial.xarray.dev), Stack Overflow #python-xarray tag",5 (most),4,3,1 (least),2,Regularly (~weekly),Most days,Occasionally (~monthly),Never,Regularly (~weekly),Regularly (~weekly),Never,Most days,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,,3,dask,More examples with the documentation,Not relevant,Very useful,Very useful,Somewhat useful,Very useful,Very useful,Very useful,Very useful,Somewhat useful,Critical,"Very useful, Critical",Very useful,Very interested,Very interested,Very interested,Somewhat interested,Not interested,
6/1/2022 13:31:06,Domain scientist / researcher,Geosciences,Friend,Most days,6,4,4,Yes (and I wouldn't mind a little less stability if it meant the project developed faster),"Stack Overflow #python-xarray tag, GitHub issue trackers (reading past issues)",3,5 (most),2,1 (least),4,Most days,Regularly (~weekly),Most days,Occasionally (~monthly),Most days,Regularly (~weekly),Never,Most days,Never,Occasionally (~monthly),Regularly (~weekly),Occasionally (~monthly),Most days,Regularly (~weekly),Never,Never,Never,,,4,"dask, pandas",,Somewhat useful,Somewhat useful,Critical,Very useful,Very useful,Very useful,Critical,Critical,Very useful,Very useful,Very useful,Very useful,Not interested,Somewhat interested,Very interested,Somewhat interested,,
6/1/2022 13:32:48,"Software engineer / developer, System administrator",Geosciences,Mailing list,Regularly (~weekly),3,2,4,Yes,"Documentation (https://docs.xarray.dev/), GitHub issue trackers (reading past issues), Github Discussions",5 (most),4,3,2,1 (least),Regularly (~weekly),Never,Never,Occasionally (~monthly),Occasionally (~monthly),Most days,Occasionally (~monthly),Regularly (~weekly),Occasionally (~monthly),Never,Never,Never,Never,Never,Never,Never,Never,Never,,3,"xpublish, panel, hvplot",Developing xpublish into a replacement for the likes of ERDDAP and THREDDS.,Very useful,Critical,Critical,Somewhat useful,Critical,Somewhat useful,Very useful,Very useful,,Very useful,Not relevant,Very useful,Not interested,Very interested,Very interested,Somewhat interested,,
6/1/2022 13:43:25,Software engineer / developer,Geosciences,GitHub,Regularly (~weekly),1,3,2,Yes,"Documentation (https://docs.xarray.dev/), GitHub issue trackers (raising a new issue), Github Discussions",5 (most),4,2,1 (least),3,Never,Most days,Occasionally (~monthly),Never,Regularly (~weekly),Most days,Never,Most days,Occasionally (~monthly),Never,Occasionally (~monthly),Never,Occasionally (~monthly),Occasionally (~monthly),Never,Never,Never,Never,,3,,,Critical,Somewhat useful,Not relevant,Very useful,Very useful,Critical,Somewhat useful,Very useful,Very useful,Somewhat useful,Very useful,Very useful,Somewhat interested,Not interested,Very interested,Somewhat interested,Not interested,
6/1/2022 13:53:29,Software engineer / developer,Geosciences,Mailing list,Most days,3,3,4,Yes,"Documentation (https://docs.xarray.dev/), Tutorials (https://tutorial.xarray.dev), Stack Overflow #python-xarray tag, GitHub issue trackers (raising a new issue), GitHub issue trackers (reading past issues), Github Discussions",4,3,5 (most),2,1 (least),Regularly (~weekly),,,Regularly (~weekly),Most days,Most days,Never,Occasionally (~monthly),Most days,Occasionally (~monthly),Regularly (~weekly),Occasionally (~monthly),Regularly (~weekly),Occasionally (~monthly),Never,Never,Regularly (~weekly),,,3,"Dark, pandas, geopandas, rasterio, zarr, sklearn, numpy",Biggest blocker is generally stability of Dask and the integration there,"Very useful, Critical",Very useful,Somewhat useful,Somewhat useful,Somewhat useful,Very useful,Very useful,Somewhat useful,Not relevant,Somewhat useful,Critical,Somewhat useful,Not interested,Somewhat interested,Very interested,Not interested,,
6/1/2022 14:15:02,Software engineer / developer,Communications,GitHub,Occasionally (~monthly),2,1,2,Yes,"Documentation (https://docs.xarray.dev/), Tutorials (https://tutorial.xarray.dev)",5 (most),3,1 (least),4,2,Occasionally (~monthly),Occasionally (~monthly),Never,Never,Occasionally (~monthly),Occasionally (~monthly),Never,Never,Never,Never,Never,Occasionally (~monthly),Occasionally (~monthly),Never,Never,Occasionally (~monthly),Occasionally (~monthly),Never,,3,"numpy, pandas, scikit-rf",Easier Subclassing,Somewhat useful,Very useful,Very useful,Somewhat useful,Somewhat useful,Very useful,Very useful,Not relevant,Very useful,Very useful,Somewhat useful,Very useful,Very interested,Somewhat interested,Not interested,Very interested,Not interested,
